Date,Age,Gender,City,Income,Expenses,Score
01-01-2024,18,Male,Ahmedabad,25000,15000,80.0
02-01-2024,20,Female,Surat,30000,18000,76.0
03-01-2024,22,Male,Vadodara,28000,17500,90.0
04-01-2024,21,Female,Rajkot,35000,22000,85.0
05-01-2024,23,Male,Bhavnagar,40000,26000,88.0
06-01-2024,24,Female,Ahmedabad,25000,15000,80.0
07-01-2024,25,Male,Surat,30000,18000,76.0
08-01-2024,22,Female,Vadodara,28000,17500,90.0
09-01-2024,21,Male,Rajkot,35000,22000,85.0
10-01-2024,26,Female,Bhavnagar,40000,26000,88.0
11-01-2024,18,Male,Ahmedabad,25000,15000,80.0
12-01-2024,20,Female,Surat,30000,18000,76.0
13-01-2024,22,Male,Vadodara,28000,17500,90.0
14-01-2024,21,Female,Rajkot,35000,22000,85.0
15-01-2024,23,Male,Bhavnagar,40000,26000,88.0
16-01-2024,24,Female,Ahmedabad,25000,15000,80.0
17-01-2024,25,Male,Surat,30000,18000,76.0
18-01-2024,22,Female,Vadodara,28000,17500,90.0
19-01-2024,21,Male,Rajkot,35000,22000,85.0
20-01-2024,26,Female,Bhavnagar,40000,26000,88.0
21-01-2024,18,Male,Ahmedabad,25000,15000,80.0
22-01-2024,20,Female,Surat,30000,18000,76.0
23-01-2024,22,Male,Vadodara,28000,17500,90.0
24-01-2024,21,Female,Rajkot,35000,22000,85.0
25-01-2024,23,Male,Bhavnagar,40000,26000,88.0
26-01-2024,24,Female,Ahmedabad,25000,15000,80.0
27-01-2024,25,Male,Surat,30000,18000,76.0
28-01-2024,22,Female,Vadodara,28000,17500,90.0
29-01-2024,21,Male,Rajkot,35000,22000,85.0
30-01-2024,26,Female,Bhavnagar,40000,26000,88.0
31-01-2024,18,Male,Ahmedabad,25000,15000,80.0
01-02-2024,20,Female,Surat,30000,18000,76.0
02-02-2024,22,Male,Vadodara,28000,17500,90.0
03-02-2024,21,Female,Rajkot,35000,22000,85.0
04-02-2024,23,Male,Bhavnagar,40000,26000,88.0
05-02-2024,24,Female,Ahmedabad,25000,15000,80.0
06-02-2024,25,Male,Surat,30000,18000,76.0
07-02-2024,22,Female,Vadodara,28000,17500,90.0
08-02-2024,21,Male,Rajkot,35000,22000,85.0
09-02-2024,26,Female,Bhavnagar,40000,26000,88.0
10-02-2024,18,Male,Ahmedabad,25000,15000,80.0
11-02-2024,20,Female,Surat,30000,18000,76.0
12-02-2024,22,Male,Vadodara,28000,17500,90.0
13-02-2024,21,Female,Rajkot,35000,22000,85.0
14-02-2024,23,Male,Bhavnagar,40000,26000,88.0
16-02-2024,25,Male,Surat,30000,18000,76.0
17-02-2024,22,Female,Vadodara,28000,17500,90.0
18-02-2024,21,Male,Rajkot,35000,22000,85.0
18-02-2024,21,Male,Rajkot,35000,22000,85.0
